,RV,HAR,RF
1983-07-31,0.00014746000000000006,0.0002482041938833341,0.00024385835126435512
1983-08-31,7.723999999999935e-05,0.0001287936148392993,0.0001053116656095927
1983-09-30,6.492999999999923e-05,0.00012079502245569996,0.00010125011301932549
1983-10-31,0.0001853399999999983,0.00019991313814058057,0.00019674419349899165
1983-11-30,0.00011167000000000006,0.00016404626819998874,0.0001386796100226519
1983-12-31,8.569999999999935e-05,0.00013257645758939172,0.00010602266588344235
1984-01-31,9.925000000000005e-05,0.00016464965008609043,0.00011481769571561325
1984-02-29,0.00012053000000000005,0.00017599047691261774,0.0001402244863541645
1984-03-31,6.022000000000005e-05,0.00011405860606449229,0.00010368465116644835
1984-04-30,9.379999999999923e-05,0.000136248935117866,0.00011391390201662907
1984-05-31,0.00010528000000000005,0.00012095724276763525,0.00012606736211139867
1984-06-30,0.0001306699999999991,0.00018141531542092257,0.0001369468948561962
1984-07-31,0.00033026999999999774,0.00023990408195487256,0.00037652301579196477
1984-08-31,0.0004154500000000001,0.0003555513894518258,0.00034362090668998513
1984-09-30,0.00010514000000000005,0.00013823254420265764,0.00012810196613494764
1984-10-31,0.00026751999999999885,0.0002911949635846575,0.00025052634530103944
1984-11-30,0.00011033999999999771,0.00014545978419601814,0.00013525035895715006
1984-12-31,0.00020575999999999922,0.00020316933947490222,0.00020115125573596935
1985-01-31,0.00023409999999999935,0.00022597845357512567,0.00021137590222831574
1985-02-28,0.00014902999999999794,0.00018787094664370638,0.00016909046935111556
1985-03-31,0.00014328000000000005,0.00019229357461541207,0.0001654210811023942
1985-04-30,0.00012433000000000005,0.00017494192001476534,0.00014932443822808625
1985-05-31,0.0001924899999999992,0.00021331244384288652,0.0001955779841449898
1985-06-30,0.00017214999999999933,0.00022270286416859253,0.00020696818161006537
1985-07-31,0.00019605999999999934,0.0002076462189338099,0.00019719151278399904
1985-08-31,8.751000000000003e-05,9.109889725002561e-05,0.00011129227636893783
1985-09-30,0.00014719000000000003,0.00017416077652826224,0.00017448999592522372
1985-10-31,0.00017335999999999936,0.00017688560253435818,0.00018648701626823054
1985-11-30,9.818999999999921e-05,0.0001440018074887233,0.00012210505867343393
1985-12-31,0.00021615000000000005,0.00021513725364098407,0.0001951280351157925
1986-01-31,0.0001993899999999988,0.00024296212626301786,0.00020471471463931798
1986-02-28,0.0001584499999999991,0.00019747196053217632,0.00017807740008978653
1986-03-31,0.00016966000000000003,7.041499765064068e-05,0.00019501846295573807
1986-04-30,0.00010660999999999921,0.00015037697814617438,0.00014116647482715546
1986-05-31,6.686000000000005e-05,0.00012436076016217155,0.0001049715549032303
1986-06-30,7.765000000000004e-05,0.00013222044955525848,0.00010881136217997168
1986-07-31,0.00031308000000000003,0.0002870846497275313,0.00020224330211877938
1986-08-31,0.00029228999999999773,0.0002852777203505179,0.00020472177211574902
1986-09-30,0.00024296000000000005,0.00024392985458072906,0.00020267024263159148
1986-10-31,0.00017511000000000005,0.00010373895378437817,0.0001792959855225382
1986-11-30,0.00015149999999999924,0.00017276673603927814,0.0001680922909819476
1986-12-31,8.957000000000005e-05,0.00013171402816645604,0.00011719055474165536
1987-01-31,0.00019015999999999822,0.0002003146420235256,0.00017780477710803045
1987-02-28,0.000191819999999997,0.00021026465466636226,0.00018452566338198392
1987-03-31,0.0002456699999999969,0.00025801142475178707,0.00020106393125126577
1987-04-30,0.00010607000000000006,0.00013986352164059845,0.0001393588262312268
1987-05-31,0.00023103000000000007,0.00023722048243580716,0.00019257329432158406
1987-06-30,9.53999999999984e-05,0.00012543405496075365,0.00012128404299689395
1987-07-31,0.0001958499999999991,0.0002072510349445936,0.00018430946041832124
1987-08-31,0.00026288000000000006,0.0002074183029390473,0.000205703288330034
1987-09-30,0.0001955699999999991,0.00021003092263138917,0.00019110792249743902
1987-10-31,0.0012203000000000001,0.001034350251562143,0.0008048489638481317
1987-11-30,0.00046950000000000014,0.00035884251815491216,0.00036537310871764426
1987-12-31,0.00040749999999999803,0.00031837710700256084,0.0003666311940214254
1988-01-31,0.00014960999999999835,0.00017538195037247362,0.00016259066039762921
1988-02-29,0.00011186999999999928,0.00016372760733350146,0.00014473884846277722
1988-03-31,0.0001700599999999994,0.0001799253636977194,0.00018330539026259094
1988-04-30,8.22399999999994e-05,0.00013517418015744333,0.00011667153195157487
1988-05-31,7.72800000000001e-05,0.0001252148580483867,0.00011519752445669598
1988-06-30,0.0001348800000000001,0.00011632524175929708,0.00015904535308555783
1988-07-31,8.213000000000011e-05,0.00013541759534835523,0.0001244046190717067
1988-08-31,9.306000000000012e-05,0.00013547813837137587,0.000129194128292532
1988-09-30,9.239999999999941e-05,0.0001387313386193861,0.00013313215825130252
1988-10-31,6.22899999999994e-05,0.00012013992459742667,9.600092537209852e-05
1988-11-30,9.490999999999928e-05,0.00014294584589969996,0.00012220441097796753
1988-12-31,8.34699999999994e-05,0.0001360739490486355,0.00012261581660160385
1989-01-31,8.50700000000001e-05,0.00014593536682254812,0.00013058392447149112
1989-02-28,0.0001020600000000001,0.000150266198362512,0.00015392317072077406
1989-03-31,6.445999999999927e-05,0.00012371242700386952,0.00010674944727011533
1989-04-30,7.30200000000001e-05,0.0001318286171241455,0.00011524074460831606
1989-05-31,6.780999999999928e-05,0.00012655214476046107,0.00010665848150161711
1989-06-30,8.34799999999994e-05,0.0001446945701178765,0.00011725622900449828
1989-07-31,6.98900000000001e-05,0.00012385563862528994,0.00011058479989695351
1989-08-31,4.3980000000000104e-05,0.00010439515268578645,6.76881933272035e-05
1989-09-30,6.765000000000011e-05,0.0001248233859094307,9.973374173857617e-05
1989-10-31,7.98599999999994e-05,0.00013918239159987973,0.00012027721493300296
1989-11-30,6.66200000000001e-05,0.00012300602193830295,9.882380508876195e-05
1989-12-31,0.0001560200000000001,0.00016992392245918837,0.00017137947354281207
1990-01-31,0.0001336799999999994,0.00016827799354685383,0.0001721183587006946
1990-02-28,6.43500000000001e-05,0.00011324941417387979,9.550807698364482e-05
1990-03-31,7.73100000000001e-05,0.00013989161541029478,0.00012104875261521028
1990-04-30,9.50000000000001e-05,0.00013442813897620676,0.00012014236643319698
1990-05-31,7.904000000000011e-05,0.00012731554674728853,0.00011853743517164178
1990-06-30,4.609000000000011e-05,0.00011578764397791565,6.714605950300303e-05
1990-07-31,0.0003719999999999992,0.00027213661695227917,0.00047698015888429196
1990-08-31,0.0015157499999999956,0.0010612627888912896,0.0005512257943240184
1990-09-30,0.0004473799999999963,0.0003129515123820496,0.0006183985405288123
1990-10-31,0.0005556999999999985,0.00039833427774903576,0.0003903458188147087
1990-11-30,0.00037658999999999946,0.00028992883778934686,0.00031485315987419497
1990-12-31,0.00022274999999999926,0.00020872250176200607,0.0001925542464971716
1991-01-31,0.0004159599999999989,0.00032798687980086546,0.00033758253732094474
1991-02-28,0.00025446999999999915,0.00023679080690735898,0.00020234015678084963
1991-03-31,0.0002865200000000001,0.0002979602280158053,0.00035631455576638706
1991-04-30,9.31700000000001e-05,0.00014010375718180723,0.00012140570161307154
1991-05-31,0.0001064800000000001,0.0001433714664578077,0.00014844663674119633
1991-06-30,7.50500000000001e-05,0.00013224329965110622,0.00012556002947653296
1991-07-31,0.0001289400000000001,0.00016198583534602826,0.0001662274596571959
1991-08-31,0.00012500999999999802,0.00015524161954311752,0.00016178334948902648
1991-09-30,0.0001050200000000001,0.00014360355376819155,0.00014415853997154764
1991-10-31,5.149000000000011e-05,0.00011334961805511566,8.471206684586051e-05
1991-11-30,0.00016248000000000008,0.00017786669436886551,0.0001718761546727595
1991-12-31,0.00019627000000000012,0.00020250374713433832,0.0002581300489568748
1992-01-31,0.0002899199999999989,0.0002602849184319601,0.00024330728025756895
1992-02-29,0.00019927999999999857,0.0001975717129057545,0.0002513385702796295
1992-03-31,7.923000000000011e-05,0.00013472077035290992,0.00010501148258738153
1992-04-30,0.00021668999999999928,0.00020892599924913563,0.0002124383667058973
1992-05-31,9.252000000000011e-05,0.0001470496788645428,0.00013744003827265773
1992-06-30,0.00010593999999999929,0.00014793079395977076,0.00014984704296317907
1992-07-31,5.550000000000011e-05,0.00011563615171367408,9.910515518002627e-05
1992-08-31,4.25200000000001e-05,0.00010823112216096711,7.453668361510558e-05
