,RV,HAR,RF
1983-07-31,0.0009137399999999986,0.0007751430408526494,0.001199959127608275
1983-08-31,0.0008561499999999942,0.0006978319382953885,0.0009023322763701036
1983-09-30,0.00028915999999999903,0.0004552901885970397,0.0004346139725987416
1983-10-31,0.00028065999999999763,0.00047447602426749485,0.0004154150290882486
1983-11-30,0.00014193999999999817,0.00038441856546886485,0.00017053742218854705
1983-12-31,8.539e-05,0.00035214545406773913,0.00016082207819064406
1984-01-31,0.00013288999999999998,0.0003714294949015075,0.0001648651522318848
1984-02-29,0.00017194999999999876,0.00039492997007830206,0.00032577368736123636
1984-03-31,0.00017464999999999904,0.00039395270144460985,0.0002100551415076577
1984-04-30,0.00013020999999999904,0.00036512593266598036,0.00016721002904323328
1984-05-31,0.0004739699999999974,0.0005288009607079839,0.0008711007748414185
1984-06-30,0.00035171,0.00045971106574922726,0.0004638110766037192
1984-07-31,0.0004881199999999968,0.0005366443300467347,0.0007351221578490833
1984-08-31,0.0014165799999999909,0.0008621351486713851,0.0007689157490191926
1984-09-30,0.00021189999999999916,0.0004084236471302066,0.0003479131182448391
1984-10-31,0.00021344000000000002,0.0004283495449193306,0.00039756583021363667
1984-11-30,0.00024198999999999857,0.0004170401786199137,0.00038473923870512304
1984-12-31,0.00036653,0.0004732405153548018,0.0004377744176373071
1985-01-31,0.00046718999999999667,0.0004963778699426989,0.0007184943681868035
1985-02-28,0.00013649999999999998,0.00036806380939308344,0.00017557476014421668
1985-03-31,9.146999999999999e-05,0.0003606578402456939,0.00016629306244713533
1985-04-30,0.00011443,0.00035497281018217667,0.00017020338456765952
1985-05-31,0.0001655999999999993,0.00038395893601847627,0.0002901311604767273
1985-06-30,0.0002804799999999986,0.00042468446479273565,0.000365232074442235
1985-07-31,0.00046936999999999625,0.0004985987663114291,0.0008195958268845878
1985-08-31,0.0001104199999999993,0.0003505382925157072,0.00016934878111168558
1985-09-30,0.00015834,0.0003977607960345232,0.0002918405055924087
1985-10-31,0.0001483099999999986,0.00038044790626048583,0.00018642800810117878
1985-11-30,0.0001068699999999993,0.0003464312114514713,0.00016675539502025415
1985-12-31,0.00015604,0.00036326411185755335,0.00017268115937131147
1986-01-31,0.0003445699999999979,0.00048372431987002483,0.0005214920335709798
1986-02-28,0.00020718999999999604,0.00041732266129718913,0.00037926426882739354
1986-03-31,0.0004111999999999961,0.0005634157593200975,0.0004968878557246128
1986-04-30,0.0003389199999999993,0.0004506855884809748,0.00038996563900590135
1986-05-31,0.00030871999999999833,0.0004470527040476285,0.0004050055579795538
1986-06-30,0.00019495999999999885,0.00040285765395488824,0.0003890856302497599
1986-07-31,0.0007602499999999979,0.000587401825017488,0.0007156086942454529
1986-08-31,0.0005811099999999953,0.0005499826600089579,0.0008313229671553291
1986-09-30,0.0008482299999999976,0.0006345861752387026,0.000980110136685715
1986-10-31,0.0001881399999999993,0.00041929393849353196,0.00040822733918626235
1986-11-30,0.00014506999999999918,0.0003672117128551837,0.00020449557246412148
1986-12-31,8.393e-05,0.00034478755561544546,0.0001643888042758383
1987-01-31,0.0002419999999999993,0.0003884658483564635,0.00036503640076078275
1987-02-28,0.00019441999999999919,0.0003826068152680946,0.0003666244579485011
1987-03-31,0.00032771999999999803,0.0004948606345005195,0.0005204483162510761
1987-04-30,0.00034447999999999917,0.0004571909760625508,0.00040898643326528467
1987-05-31,0.00012107999999999917,0.00034584478382760817,0.00017186825361700483
